#,collection,volume,volume change,floor price,price change,owners,items
1,Metaverse King,6.36 BNB,+0.00%,0.08 BNB,-17.43%,110,274
2,Metaverse Skull Yacht Club,3.42 BNB,+564.78%,0.16 BNB,+0.00%,--,30
3,DOODLE APE,3.34 BNB,+7975.98%,0.04 BNB,-1.01%,77,298
4,Elfin Standard NFT PACK,3.27 BNB,+186.49%,< 0.01 BNB,-5.26%,28182,98845
5,Alpine Race Collectibles,1.62 BNB,+54.42%,< 0.01 BNB,+0.00%,29686,144000
6,Lil Pudgys,445.19 ETH,-40.54%,0.97 ETH,-3.49%,7499,21354
7,Homie Metaverse,2.64 BNB,-63.56%,0.04 BNB,+0.46%,125,285
8,Gh0stly gh0sts ETH,66.72 ETH,+48.14%,< 0.01 ETH,--,1,--
9,Mutant Ape Yacht Club,1.2K ETH,-5.26%,5.69 ETH,-2.86%,11460,19486
10,DeGods,634.99 ETH,+12.58%,3.2 ETH,-2.53%,2535,8683
11,Skyborne - Nexian Gems,51.96 ETH,+1056.50%,0.38 ETH,+57.13%,771,3333
12,tiny dinos (eth),15.52 ETH,+624.93%,0.15 ETH,+328.04%,--,--
13,NFT Passport Collection,0.25 BNB,+261.27%,< 0.01 BNB,-10.53%,210478,2500000
14,Redacted Remilio Babies,82.37 ETH,+261.80%,0.65 ETH,-13.46%,2540,10000
15,Moonbirds,234.43 ETH,+67.22%,2.17 ETH,+8.49%,5888,10000
16,Kanpai Pandas,241.53 ETH,+52.72%,2.24 ETH,+12.99%,2102,7707
17,Pixelmon - Generation 1,194.48 ETH,+24.34%,1.65 ETH,+16.13%,2701,12034
18,Azuki,660.1 ETH,+158.05%,6.4 ETH,-6.35%,4203,10000
19,Pudgy Penguins,901.85 ETH,-58.09%,10.76 ETH,+0.43%,4374,8888
20,CLONE X - X TAKASHI MURAKAMI,119 ETH,+59.98%,1.44 ETH,-4.19%,9636,19518
21,Checks - VV Edition,46.99 ETH,+114.97%,0.85 ETH,+26.26%,1230,5385
22,Mutant Hounds,14.11 ETH,+1409.42%,0.2 ETH,+14.91%,5,--
23,Azuki Elementals,42.58 ETH,+27.15%,0.62 ETH,-4.59%,4684,14444
24,Milady Maker,210.47 ETH,+28.17%,3.57 ETH,-3.53%,3524,10000
25,Nakamigos,13.64 ETH,+7.59%,0.17 ETH,-5.88%,5590,20000
26,RuglikeGameStudio,6.36 ETH,+0.00%,< 0.01 ETH,--,1120,1720
27,Treeverse Plots,41.84 ETH,+62.88%,0.74 ETH,-5.26%,3330,10420
28,Ether Avatar,10.98 ETH,+447.83%,0.2 ETH,+23.30%,1083,585
29,Opepen Edition,41.72 ETH,-12.02%,0.46 ETH,-4.80%,4131,16000
30,tubby cats,3.99 ETH,+111.55%,0.09 ETH,+12.14%,7796,20000
31,BEANZ Official,26.16 ETH,-32.82%,0.42 ETH,-6.58%,7733,19950
32,Otherdeed for Otherside,48.46 ETH,+18.98%,0.62 ETH,+1.36%,3053,100000
33,Khuga by Khuga Labs,1.36 ETH,+234.05%,0.03 ETH,+27.82%,1,5555
34,Doodles,97.08 ETH,+31.55%,2.09 ETH,-2.00%,5550,10000
35,Otherdeed Expanded,26.87 ETH,-4.62%,0.32 ETH,+0.19%,12653,52586
36,Sappy Seals,33.09 ETH,-59.31%,0.73 ETH,-8.35%,1936,10000
37,Bored Ape Yacht Club,1.3K ETH,-12.85%,30.32 ETH,+0.87%,5664,10000
38,Binary: DEX,3.74 ETH,-66.11%,0.09 ETH,-1.35%,1,7070
39,RTFKT Animus Egg 🥚,11.81 ETH,+375.60%,0.3 ETH,-0.13%,6496,16698
40,HV-MTL,8.45 ETH,-25.99%,0.2 ETH,+5.13%,8529,28298
41,Cool Cats NFT,45.42 ETH,+104.66%,1.08 ETH,+2.72%,5635,9968
42,Otherside Vessels,11.45 ETH,+26.41%,0.17 ETH,-2.10%,6401,15352
43,Azuki Elemental Beans,26.01 ETH,-60.59%,0.79 ETH,-0.13%,1532,5455
44,Streets of Milady,1.29 ETH,+2476.62%,0.06 ETH,-0.55%,621,2121
45,Moonbirds: Mythics,5.21 ETH,+336.64%,0.15 ETH,-0.13%,2018,8023
46,Agoria {Comp-nd} x [ L ] Market,1.92 ETH,+1398.33%,0.05 ETH,+17.40%,5825,10082
47,Sybil Samurai,12.94 ETH,-64.31%,0.1 ETH,-5.93%,1323,5148
48,😾Demon Kitten😾,0.02 BNB,+531.71%,< 0.01 BNB,+0.00%,--,10000
49,Pixelmon Trainers - Generation 1,9.56 ETH,+46.95%,0.3 ETH,-0.13%,1237,10020
50,Cult,2.37 ETH,-6.17%,0.1 ETH,+41.26%,614,1377
51,The Seekers,1.44 ETH,-56.55%,0.04 ETH,+24.69%,2,47895
52,Meebits,36.3 ETH,+26.72%,1.26 ETH,-0.87%,6594,20000
53,Rug Radio Faces of Web3 by Cory Van Lew,1.21 ETH,-52.37%,0.04 ETH,-0.84%,1,20000
54,Celebrity Card Game,1.05 BNB,-62.25%,0.01 BNB,+4.26%,3512,11801
55,The Shiboshis,5.19 ETH,+352.24%,0.23 ETH,+0.26%,3571,10000
56,The Captainz,135.7 ETH,+42.97%,5.33 ETH,+7.42%,3997,9999
57,Bitcoin Holders,0.45 BNB,-86.50%,0.04 BNB,-0.41%,112,252
58,NFT Worlds Genesis Avatars,6.34 ETH,-45.47%,0.23 ETH,-4.38%,3644,11914
59,The Plooshies,9.27 ETH,+658.81%,0.49 ETH,+68.75%,--,3333
60,Gemesis,0.43 ETH,-66.84%,0.01 ETH,+31.58%,45181,94757
61,Gray Boys,4.07 ETH,-37.25%,< 0.01 ETH,--,--,--
62,CR7 Mystery Box Collection,0.09 BNB,-64.75%,< 0.01 BNB,-4.17%,237437,1423597
63,Azra Games - The Hopeful,10.83 ETH,-86.33%,0.49 ETH,-2.93%,1,5555
64,mfers,24.1 ETH,+137.28%,0.75 ETH,-1.93%,5719,10021
65,Bored Ape Kennel Club,39.01 ETH,-41.37%,1.74 ETH,-3.14%,5128,9602
66,a KID called BEAST,6.39 ETH,+247.93%,0.27 ETH,-0.13%,3372,10000
