#,collection,volume,volume change,floor price,price change,owners,items
1,Metaverse King,7.74 BNB,-10.54%,0.06 BNB,-6.19%,134,306
2,Metaverse Skull Yacht Club,4.43 BNB,+2281.59%,0.03 BNB,-7.07%,20,65
3,Metaverse LE-GO World,4.14 BNB,+0.00%,0.06 BNB,+6.00%,5,39
4,Gh0stly gh0sts ETH,154.52 ETH,+121.86%,< 0.01 ETH,--,1,--
5,DeGods,1.4K ETH,+105.61%,2.74 ETH,-0.01%,2558,8683
6,Alpine Race Collectibles,2.9 BNB,-23.05%,< 0.01 BNB,-5.56%,29049,144000
7,Azuki,2K ETH,-16.10%,5.85 ETH,-2.30%,4181,10000
8,Mutant Ape Yacht Club,1.2K ETH,+45.22%,5.29 ETH,+0.19%,11381,19486
9,Moonbirds,239.01 ETH,-17.81%,1.4 ETH,-4.13%,5847,10000
10,Meebits,189.35 ETH,+202.54%,1.2 ETH,-9.22%,6578,20000
11,Opepen Edition,80.96 ETH,+106.86%,0.37 ETH,-5.65%,4162,16000
12,Dimension X,2.6 ETH,+183.54%,0.01 ETH,+83.35%,352,12715
13,Nifty League DEGENs,4.88 ETH,+1966.75%,< 0.01 ETH,--,--,10000
14,Lil Pudgys,99.74 ETH,-49.94%,0.95 ETH,-1.93%,7477,21409
15,CLONE X - X TAKASHI MURAKAMI,117.5 ETH,-65.41%,1.24 ETH,-0.25%,9652,19520
16,The Grapes,126.54 ETH,-69.98%,1.46 ETH,+6.00%,601,3333
17,Azuki Elementals,51.19 ETH,+6.90%,0.58 ETH,+9.05%,4652,14567
18,Imaginary Rides,15.44 ETH,+31.46%,0.17 ETH,+15.35%,1898,13888
19,DOODLE APE,0.7 BNB,+43.49%,0.04 BNB,+5.05%,114,363
20,QzukiNFT,0.15 ETH,+0.00%,< 0.01 ETH,+0.00%,17,10000
21,mfers,46.69 ETH,+431.67%,0.61 ETH,-9.56%,5699,10021
22,Isekai Meta,6 ETH,-26.70%,< 0.01 ETH,--,--,7777
23,Allstarz Official,0.73 ETH,+0.00%,0.01 ETH,+0.00%,396,10000
24,RTFKT Animus Egg 🥚,18.09 ETH,-53.59%,0.36 ETH,+2.67%,6469,16749
25,Moonbirds Oddities,4.12 ETH,+893.15%,0.09 ETH,-6.26%,3963,10000
26,StarryNift Genesis Equipment,0.72 BNB,-84.07%,0.01 BNB,+25.39%,1170,13830
27,HasbullaNFT,1.05 ETH,+124.46%,0.02 ETH,+22.16%,20,10000
28,Pixelmon - Generation 1,109.98 ETH,+100.90%,1.87 ETH,-6.04%,2584,12136
29,Gray Boys,4.06 ETH,+157.51%,< 0.01 ETH,--,--,--
30,Parallel Avatars,39.63 ETH,+347.73%,0.9 ETH,-9.81%,2170,11001
31,Mooncatz,1.15 ETH,+750.01%,0.01 ETH,+0.00%,2,5555
32,Ape Reunion,1.08 ETH,+799.14%,0.03 ETH,+56.83%,3,10000
