#,collection,volume,change,floor price,sales
75,Senseless Stoics,0.33 ETH,+18%,0.33 ETH,1
51,Spellborne Apartments,0.51 ETH,+96%,0.27 ETH,2
22,Balthazar raW Pass,2 ETH,+160%,0.32 ETH,5
24,Milady Maker,13 ETH,-72%,3.57 ETH,4
81,The Sandbox,0.25 ETH,+25%,0.25 ETH,1
82,rektguy,0.47 ETH,+47%,0.51 ETH,1
36,y00ts,2 ETH,-84%,0.58 ETH,3
88,CryptoPunks,--,--,--,0
27,Cool Cats,4 ETH,+229%,1.07 ETH,4
46,Checks - VV Edition,2 ETH,-30%,0.85 ETH,2
58,tubby cats,0.12 ETH,+12%,0.09 ETH,2
35,Shrapnel Operators Collection,1 ETH,-4%,0.37 ETH,3
97,Chromie Squiggle by Snowfro,--,--,9.48 ETH,0
5,Pixelmon - Generation 1,27 ETH,+1,640%,1.65 ETH,16
87,Bored Ape Yacht Club,--,--,30.30 ETH,0
77,PROOF Collective,3 ETH,-6%,3.50 ETH,1
43,The Captainz,10 ETH,+990%,5.32 ETH,2
90,CrypToadz by GREMPLIN,--,--,1.45 ETH,0
99,Azuki Elemental Beans,--,--,0.77 ETH,0
54,Bit Bears by Berachain,3 ETH,--,1.52 ETH,2
94,Mocaverse,--,--,3.09 ETH,0
40,Pudgy Penguins,21 ETH,+59%,10.75 ETH,2
1,THE WHITE RABBIT,3 ETH,+6,515%,< 0.01 ETH,232
25,Moonbirds,8 ETH,+301%,2.17 ETH,4
96,Themes and Variations by Vera Moln--r, in collaboration with Martin Grasser,--,--,6.95 ETH,0
11,Sofa Vision,0.85 ETH,+359%,0.09 ETH,10
8,Treeverse Plots,8 ETH,+990%,0.74 ETH,11
16,BEANZ Official,3 ETH,+296%,0.43 ETH,7
60,Lumiterra Genesis Mystery Box,0.44 ETH,-34%,0.22 ETH,2
80,Blips,0.10 ETH,--,0.11 ETH,1
44,Gh0stly Gh0sts,0.51 ETH,-67%,0.31 ETH,2
42,Creepz by OVERLORD,5 ETH,+462%,2.50 ETH,2
98,mfers,--,--,0.74 ETH,0
2,Terraforms by Mathcastles,31 ETH,--,1.58 ETH,22
65,ChronoForge,0.21 ETH,-65%,0.21 ETH,1
29,Otherdeed Expanded,2 ETH,+387%,0.32 ETH,4
56,Murakami.Flowers Official,1 ETH,+113%,0.40 ETH,2
55,Mirandus,2 ETH,+6,471%,< 0.01 ETH,2
53,The Memes by 6529,0.08 ETH,-83%,0.03 ETH,2
4,BlockGames Dice,9 ETH,+510%,0.54 ETH,18
64,Pixels - Farm Land,1 ETH,+132%,1.27 ETH,1
32,Pirate Nation - Founder's Pirates,1 ETH,+129%,0.33 ETH,4
76,Pixelmon Trainers - Generation 1,0.30 ETH,-67%,0.30 ETH,1
19,CLONE X - X TAKASHI MURAKAMI,9 ETH,+50%,1.44 ETH,6
92,Neo Tokyo Outer Citizens,--,--,2.74 ETH,0
7,RAW DAWGS NFT,0.60 ETH,+200%,0.05 ETH,12
50,ChronoForge Support Airships,0.40 ETH,+40%,0.20 ETH,2
71,CyberKongz (Babies),0.88 ETH,--,0.88 ETH,1
74,Winds of Yawanawa by Yawanawa and Refik Anadol,8 ETH,+830%,8.20 ETH,1
18,Lil Pudgys,5 ETH,-41%,0.97 ETH,6
34,Timeless Characters,1 ETH,+115%,0.32 ETH,4
89,HYTOPIA Worlds,--,--,3.90 ETH,0
85,MAX PAIN AND FRENS BY XCOPY,0.35 ETH,+36%,0.37 ETH,1
33,Otherside Vessels,0.95 ETH,+95%,0.17 ETH,4
20,Yogapetz,3 ETH,-34%,0.58 ETH,6
62,Kanpai Pandas,2 ETH,-5%,2.24 ETH,1
37,Skyborne - Genesis Immortals,0.20 ETH,-85%,0.06 ETH,3
79,GEN1 Pass Holders,6 ETH,+580%,6 ETH,1
26,Wanderers - RAM Beta Bundle,0.44 ETH,+273%,0.13 ETH,4
12,Opepen Edition,4 ETH,+299%,0.46 ETH,9
41,DeGods,7 ETH,-69%,3.20 ETH,2
31,Quaere Genesis Pass,0.90 ETH,+31%,0.19 ETH,4
59,THE SHIBOSHIS,0.45 ETH,-37%,0.23 ETH,2
38,Azra Games - The Hopeful,1 ETH,+47%,0.49 ETH,3
14,Rare Pepe (2016 - 2018),0.70 ETH,+70%,0.02 ETH,8
73,tiny dinos (eth),0.14 ETH,-97%,0.15 ETH,1
13,Trademark by Jack Butcher,2 ETH,+153%,0.20 ETH,9
100,InfiniGods - InfiniPass,--,--,0.17 ETH,0
57,HV-MTL,0.34 ETH,+88%,0.20 ETH,2
17,Mutant Ape Yacht Club,34 ETH,+211%,5.69 ETH,6
72,Ultiverse - Electric Sheep,0.99 ETH,-0.80%,1 ETH,1
68,World of Women,2 ETH,-6%,1.69 ETH,1
78,RTFKT Animus Egg --,0.28 ETH,+4%,0.30 ETH,1
84,Women Unite - 10k Assemble,0.29 ETH,+29%,0.32 ETH,1
45,L3E7 Worlds,8 ETH,+783%,4.50 ETH,2
3,Parallel Alpha,0.24 ETH,+26%,< 0.01 ETH,21
52,Ether,0.43 ETH,+153%,0.19 ETH,2
48,Alpha Prestige - Fusionist,15 ETH,+120%,8 ETH,2
61,Azuki,7 ETH,+701%,6.45 ETH,1
91,Otherside Koda,--,--,3.50 ETH,0
23,Sprotoladys,0.33 ETH,+4%,0.07 ETH,5
67,Meebits,1 ETH,--,1.30 ETH,1
63,Doodles Original Collection,3 ETH,--,2.09 ETH,1
6,Redacted Remilio Babies,8 ETH,+1,314%,0.65 ETH,14
47,Pudgy Rods,1 ETH,-52%,0.70 ETH,2
9,Skyborne - Nexian Gems,3 ETH,+211%,0.38 ETH,10
49,Checks - VV Originals,0.63 ETH,-63%,0.33 ETH,2
15,Azuki Elementals,8 ETH,+528%,0.65 ETH,7
69,CryptoPunks V1 (wrapped),4 ETH,+5%,3.74 ETH,1
93,Otherdeed for Otherside,--,--,0.62 ETH,0
66,Neo Tokyo Citizens,17 ETH,+1,730%,17 ETH,1
21,Sugartown Oras by Zynga,2 ETH,+190%,0.38 ETH,5
10,Nakamigos,3 ETH,+693%,0.18 ETH,10
28,Sappy Seals,3 ETH,+304%,0.72 ETH,4
30,MetaHero: United Planets,0.15 ETH,+15%,0.04 ETH,4
39,Wonders of The First: Character Proofs,0.38 ETH,+322%,0.11 ETH,3
86,San FranTokyo Genesis Pass,0.40 ETH,+40%,0.49 ETH,1
70,My Pet Hooligan,0.95 ETH,+95%,1.01 ETH,1
95,Bored Ape Kennel Club,--,--,1.73 ETH,0
83,Rug Radio - Genesis NFT,0.29 ETH,-91%,0.30 ETH,1
